group,evaluation,model,source,primary_metric,primary_metric_value,RMSE_pct_points,R2,notes
broad_model_zoo_and_optimal_models,final_test_estimated_targets_only,Direct LightGBM,compare_all_models.py,MAE_pct_points,5.319981386753247,6.274042303743306,-101.45691158126604,Final test set has estimated targets only; use cautiously.
broad_model_zoo_and_optimal_models,final_test_estimated_targets_only,Residual LightGBM,compare_all_models.py,MAE_pct_points,5.380133566495394,6.33641119953633,-103.50404022732216,Final test set has estimated targets only; use cautiously.
broad_model_zoo_and_optimal_models,final_test_estimated_targets_only,Direct Huber,compare_all_models.py,MAE_pct_points,6.531415339978278,10.997189524191116,-313.7819305690765,Final test set has estimated targets only; use cautiously.
broad_model_zoo_and_optimal_models,final_test_estimated_targets_only,Residual Huber,compare_all_models.py,MAE_pct_points,6.546346334456847,11.024597125789136,-315.35290804632086,Final test set has estimated targets only; use cautiously.
broad_model_zoo_and_optimal_models,final_test_estimated_targets_only,Direct XGBoost,compare_all_models.py,MAE_pct_points,9.502988079592864,12.611257352239944,-412.9645499155204,Final test set has estimated targets only; use cautiously.
broad_model_zoo_and_optimal_models,final_test_estimated_targets_only,Residual XGBoost,compare_all_models.py,MAE_pct_points,9.52514175806712,12.573002425125734,-410.4569228737897,Final test set has estimated targets only; use cautiously.
broad_model_zoo_and_optimal_models,walk_forward_cv_main_selection,Empirical Bayes company-history model,compare_all_models.py,CV_MAE,1.5454602979256271,2.801946947083217,,Broader model zoo / optimal models evaluated by historical walk-forward CV.
broad_model_zoo_and_optimal_models,walk_forward_cv_main_selection,Baseline: global median,compare_all_models.py,CV_MAE,1.6070047686509743,2.8662630969165623,,Broader model zoo / optimal models evaluated by historical walk-forward CV.
broad_model_zoo_and_optimal_models,walk_forward_cv_main_selection,Baseline: current-year layoff pct,compare_all_models.py,CV_MAE,1.6328452793426589,3.465868542643528,,Broader model zoo / optimal models evaluated by historical walk-forward CV.
broad_model_zoo_and_optimal_models,walk_forward_cv_main_selection,Baseline: company median,compare_all_models.py,CV_MAE,1.749627425571472,3.017708413736863,,Broader model zoo / optimal models evaluated by historical walk-forward CV.
broad_model_zoo_and_optimal_models,walk_forward_cv_main_selection,Residual LightGBM,compare_all_models.py,CV_MAE,1.8237819011618888,3.0274266226933872,,Broader model zoo / optimal models evaluated by historical walk-forward CV.
broad_model_zoo_and_optimal_models,walk_forward_cv_main_selection,Direct Random Forest,compare_all_models.py,CV_MAE,1.8573362670730715,3.0055638339096022,,Broader model zoo / optimal models evaluated by historical walk-forward CV.
broad_model_zoo_and_optimal_models,walk_forward_cv_main_selection,Direct Hist Gradient Boosting,compare_all_models.py,CV_MAE,1.8578631287809195,3.0920216414005623,,Broader model zoo / optimal models evaluated by historical walk-forward CV.
broad_model_zoo_and_optimal_models,walk_forward_cv_main_selection,Residual Random Forest,compare_all_models.py,CV_MAE,1.8639262686208744,3.02218283628895,,Broader model zoo / optimal models evaluated by historical walk-forward CV.
broad_model_zoo_and_optimal_models,walk_forward_cv_main_selection,Direct LightGBM,compare_all_models.py,CV_MAE,1.875625793563447,3.080259833989707,,Broader model zoo / optimal models evaluated by historical walk-forward CV.
broad_model_zoo_and_optimal_models,walk_forward_cv_main_selection,Residual Gradient Boosting,compare_all_models.py,CV_MAE,1.9255629590674916,3.0791338665730805,,Broader model zoo / optimal models evaluated by historical walk-forward CV.
broad_model_zoo_and_optimal_models,walk_forward_cv_main_selection,Direct Gradient Boosting,compare_all_models.py,CV_MAE,1.938405611899677,3.0883627123018598,,Broader model zoo / optimal models evaluated by historical walk-forward CV.
broad_model_zoo_and_optimal_models,walk_forward_cv_main_selection,Residual Hist Gradient Boosting,compare_all_models.py,CV_MAE,1.9464124060970611,3.095491445388721,,Broader model zoo / optimal models evaluated by historical walk-forward CV.
broad_model_zoo_and_optimal_models,walk_forward_cv_main_selection,Direct Tweedie / NB-style Regression,compare_all_models.py,CV_MAE,1.9881561714429317,3.2575117378293066,,Broader model zoo / optimal models evaluated by historical walk-forward CV.
broad_model_zoo_and_optimal_models,walk_forward_cv_main_selection,Residual XGBoost,compare_all_models.py,CV_MAE,2.030590624001709,3.290361490055417,,Broader model zoo / optimal models evaluated by historical walk-forward CV.
broad_model_zoo_and_optimal_models,walk_forward_cv_main_selection,Direct Poisson Regression,compare_all_models.py,CV_MAE,2.0306168030057954,3.331142448326283,,Broader model zoo / optimal models evaluated by historical walk-forward CV.
broad_model_zoo_and_optimal_models,walk_forward_cv_main_selection,Direct XGBoost,compare_all_models.py,CV_MAE,2.0678834428640074,3.3208786465059283,,Broader model zoo / optimal models evaluated by historical walk-forward CV.
broad_model_zoo_and_optimal_models,walk_forward_cv_main_selection,Direct Ridge,compare_all_models.py,CV_MAE,2.850891740487601,4.0070625578169095,,Broader model zoo / optimal models evaluated by historical walk-forward CV.
broad_model_zoo_and_optimal_models,walk_forward_cv_main_selection,Residual Ridge,compare_all_models.py,CV_MAE,2.8585032296889685,4.014466250307531,,Broader model zoo / optimal models evaluated by historical walk-forward CV.
broad_model_zoo_and_optimal_models,walk_forward_cv_main_selection,Direct ElasticNet,compare_all_models.py,CV_MAE,3.1064676539331213,4.261623676179478,,Broader model zoo / optimal models evaluated by historical walk-forward CV.
broad_model_zoo_and_optimal_models,walk_forward_cv_main_selection,Residual ElasticNet,compare_all_models.py,CV_MAE,3.11120748014876,4.271489651051232,,Broader model zoo / optimal models evaluated by historical walk-forward CV.
broad_model_zoo_and_optimal_models,walk_forward_cv_main_selection,Direct MLP Regressor,compare_all_models.py,CV_MAE,3.1780100264637343,5.240086173977104,,Broader model zoo / optimal models evaluated by historical walk-forward CV.
broad_model_zoo_and_optimal_models,walk_forward_cv_main_selection,Residual Huber,compare_all_models.py,CV_MAE,3.714244095230729,4.7476289238919085,,Broader model zoo / optimal models evaluated by historical walk-forward CV.
broad_model_zoo_and_optimal_models,walk_forward_cv_main_selection,Direct Huber,compare_all_models.py,CV_MAE,3.7508512524489928,4.798098158381962,,Broader model zoo / optimal models evaluated by historical walk-forward CV.
repo_classification_models_actual_code,repo_test_split_elevated_layoff,Repo next_year.py: Logistic Regression,next_year.py,Test_ROC_AUC,0.7916666666666666,,,Classification model at threshold 3.0% layoffs; also inspect F1 due class imbalance.
repo_classification_models_actual_code,repo_test_split_elevated_layoff,Repo logreg.py: LogisticRegressionCV threshold=train 75th percentile (3.00%),logreg.py,Test_ROC_AUC,0.8125,,,Classification model at threshold 3.0% layoffs; also inspect F1 due class imbalance.
repo_classification_models_actual_code,repo_test_split_elevated_layoff,Repo next_year.py: Random Forest,next_year.py,Test_ROC_AUC,0.9479166666666666,,,Classification model at threshold 3.0% layoffs; also inspect F1 due class imbalance.
