employees_start,new_hires,hiring_rate_pct,revenue_billions_usd,stock_price_change_pct,gdp_growth_us_pct,unemployment_rate_us_pct,is_estimated,confidence_level,workforce_growth_pct,hire_to_layoff_ratio,revenue_per_employee,layoff_pct_lag1,employees_start_lag1,revenue_billions_usd_lag1,stock_price_change_pct_lag1,new_hires_lag1,co_AMD,co_Adobe,co_Airbnb,co_Alphabet,co_Amazon,co_Apple,co_Block,co_Intel,co_LinkedIn,co_Lyft,co_Meta,co_Microsoft,co_NVIDIA,co_Netflix,co_Oracle,co_PayPal,co_Pinterest,co_SAP,co_Salesforce,co_Shopify,co_Snap,co_Stripe,co_Tesla,co_Uber,co_X (Twitter)
-0.46676119020110546,-0.290667053503912,-0.6216891369259967,-0.48175514279530385,-1.6177307337167128,1.3417775569542494,-0.2865366786938814,-0.3941317112657172,-1.0606601717798214,-0.5996133571460738,-0.6341329479583817,-0.45872801155932513,-0.3416467332313079,-0.49259209788190544,-0.4756672040044391,-1.1884929114327718,-0.28897335822225584,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.4634562149615473,-0.3066712816682001,-0.7963880546484878,-0.4749580779081259,1.700773265371099,1.1120343493606442,-0.50487946267193,-0.3941317112657172,-1.0606601717798214,-0.8038841076450797,-0.8586513881910441,-0.37898002285750515,-0.3416467332313079,-0.4885864617143417,-0.4661637166717542,-1.5868069281833412,-0.288600294081989,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.46606714540079824,-0.14094831835608346,0.9800240981928428,-0.46113737930419724,1.520084468608018,0.5759668649755648,-0.7778079426444904,-0.3941317112657172,-1.0606601717798214,0.9837266855617662,1.441753177305432,-0.07213880328938703,0.25610581372379526,-0.484580825546778,-0.45845818640200975,1.709132133499943,-0.3068182595983529,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.41748400937929403,-0.2738981181918422,-0.6143333930218918,-0.44799638718898654,0.48002212626442725,-0.03668168860738258,-0.7778079426444904,-0.3941317112657172,-1.0606601717798214,-0.5919596488383754,-0.622488087325266,-0.4849325199774747,-0.3444133597203599,-0.48774527811915336,-0.44279027485352923,1.5296719721068295,-0.11817215933675532,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.4105766111286176,-0.23265855415075842,-0.4138893716350336,-0.4384804963469373,0.8722490265550185,-1.491722003366883,-0.12277959071034518,-0.3941317112657172,-1.0606601717798214,-0.48339656430460337,-0.6713185894092697,-0.44222054843594116,-0.34417541850510236,-0.42886242645596656,-0.42789291633202314,0.4966817748196379,-0.26951184557166913,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.3967783395034625,-0.3066712816682001,-0.7963880546484878,-0.45275433261001113,0.9383546839073653,-3.559410871709331,1.7877197690975786,-0.3941317112657172,-1.0606601717798214,-0.8655330514047043,-0.8586513881910441,-0.6456119466397529,1.330034118422794,-0.4204906468657584,-0.41710517395438085,0.8862416373559091,-0.22256794125475873,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.40669326522213683,-0.16552819096335192,-0.09023663985441852,-0.43349598209634016,0.2949262856778559,0.4993857957776967,1.9514768570811143,-0.3941317112657172,0.9428090415820634,-0.07408544993809703,0.05822063485495165,-0.4238131593736556,1.3902009548013465,-0.4037671158661798,-0.4332867875208443,0.9518977939631459,-0.3068182595983529,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.36733101011899977,-0.24762496547162854,-0.5775546735013675,-0.42398009125429104,-1.110920694015387,-0.3430059653988563,1.56937698511953,-0.3941317112657172,0.9428090415820634,-0.5557958168710967,-0.5744753987313674,-0.5625374075622672,-0.3418949412270992,-0.41578402436887096,-0.41145445175656814,0.31284453631937487,-0.14615196985676815,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.353978910151185,-0.22386442195126904,-0.5150308503164758,-0.4199018523219842,-0.19425557872951071,0.19306151898622265,1.1326914171634328,-0.3941317112657172,0.9428090415820634,-0.493647602702607,-0.49221787458594835,-0.5892933848253973,-0.3435169915056165,-0.368076897613187,-0.40066670937892584,-1.083443060861193,-0.23960453699361098,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.3338350860660783,-0.2500283307932281,-0.6253670088780491,-0.42760519252745266,-0.12814992137716388,-0.18984382700311944,0.7505915452018486,-0.3941317112657172,0.9428090415820634,-0.6022174826781597,-0.6356815087452751,-0.6974354114867126,-0.3441732030322965,-0.35189412749622956,-0.3960433912170791,-0.17301102257417691,-0.21255738682426525,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.32221809809903157,-0.25166698896704603,-0.6400784966862589,-0.4255660730612992,1.4143154168442627,0.34622365738195965,0.09556319326770339,-0.3941317112657172,0.9428090415820634,-0.616844663286697,-0.6549041538893283,-0.7166290651675746,-0.34260677966441866,-0.3274797750549286,-0.4047763255227896,-0.10735486596694019,-0.24234034068890112,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.3114438788180721,-0.2100996932911987,-0.5370980820287905,-0.41083909913908023,0.30814741714832533,0.6525479341734334,-0.39570807068290564,-0.3941317112657172,0.9428090415820634,-0.5141705379279002,-0.5190548592340781,-0.6704570093847506,-0.34280380109520286,-0.3133999639259421,-0.4024646664418662,1.4246221215352504,-0.2442056613902353,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.2884082013983521,-0.18491897935353035,-0.5021582984842923,-0.3870493720339574,-0.6217388296080204,-0.3430059653988563,-0.6140508546609538,-0.3941317112657172,0.9428090415820634,-0.47969656242663183,-0.47362875203494104,-0.6197492428239382,-0.34424138948557537,-0.30034159001968436,-0.3857693508574197,0.32597576764082226,-0.19688869293305805,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.25844860085175786,-0.1571164123377534,-0.4764131948199252,-0.35419689174593044,1.1587068750818548,0.26964258818409115,-0.8869793346335142,-0.3941317112657172,0.9428090415820634,-0.4545389184206685,-0.4408174667503604,-0.5599106700036846,-0.34354787463029557,-0.2724223059317652,-0.35879999491331394,-0.5975875019676412,-0.1682249314892227,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.2209867065113667,-0.09238941447194646,-0.3955000118747714,-0.3150004842298708,0.9956462536127325,0.6525479341734334,-1.1599078146060748,-0.3941317112657172,0.9428090415820634,-0.37467583701707347,-0.3353681809032355,-0.5084019579990366,-0.34202990215184503,-0.2361112140728,-0.3215565986095487,1.1707516493206016,-0.13657665692325263,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.1650665254580435,-0.20840641317825356,-0.6419174326622852,-0.2665147547013346,0.4139164689120804,0.19306151898622265,-1.2690792065950989,-0.3941317112657172,0.9428090415820634,-0.6182388350271075,-0.6564959710794246,-0.480213346582283,-0.342000173794168,-0.19070732811346514,-0.277121374054022,1.0087997963560842,-0.0628964892205522,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.5176578088903003,-0.3050326234943822,1.9620159093908454,-0.5191389996747827,-0.7627642319596936,0.4993857957776967,1.9514768570811143,2.537222891273055,-1.0606601717798214,2.0092890355116935,1.3022428147308267,0.17269943589686249,0.6220281106634095,-0.5503333432373366,-0.509057835173332,-0.667620735682027,-0.30656955017150833,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.5171620626043666,-0.30115446581634653,2.918262616924481,-0.5177795866973471,0.6386757039100596,-0.3430059653988563,1.56937698511953,2.537222891273055,-1.0606601717798214,2.9180078464374324,2.7788538533941054,0.99399667524547,-1.344655244223769,-0.5502732586948231,-0.5085441331553491,-0.7376539693964128,-0.3049529388970187,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.5155095749845875,-0.2927973091298752,2.3169305527639064,-0.5161936048903389,-0.5335979531382246,0.19306151898622265,1.1326914171634328,2.537222891273055,-1.0606601717798214,2.3121953058202735,2.8004627954233237,0.17269943589686249,-0.6759829035621282,-0.5496724132696885,-0.5070030271014002,0.6542565506770059,-0.3005383465705278,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.5113783559351399,-0.28962923666049395,0.6379820066519656,-0.5139279165946129,-1.4105996740126927,-0.18984382700311944,0.7505915452018486,2.537222891273055,-1.0606601717798214,0.6462108191230846,0.8700639741464526,-0.34061133869601723,-0.4530921233415812,-0.5476695951859067,-0.5052050700384598,-0.5100459598246588,-0.2910252109937234,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.5064208930758027,-0.2891376392083486,0.04768355834754815,-0.5100762464918787,1.2997322774335283,0.34622365738195965,0.09556319326770339,2.537222891273055,-1.0606601717798214,0.06203444067082374,0.1923289741391386,-0.37483205700220923,-0.3416467332313079,-0.542662549976452,-0.502636559948545,-1.3810843041473329,-0.28741892430447735,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.5014634302164656,-0.250410684367119,1.0977160006585212,-0.4987478050132487,-0.6173317857845306,0.6525479341734334,-0.39570807068290564,2.537222891273055,-1.0606601717798214,1.1005702245859543,1.53459703009877,0.06319313731704813,-0.3416467332313079,-0.5366540957251065,-0.4982700927956897,1.3108181167493735,-0.2868593280940771,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
